"country" "year" "age" "sex" "death" "exp" "mx"
"Japan" 1950 0 "Male" 75.26 1209.499 0.0622241109748747
"Japan" 1950 0 "Female" 63.675 1175.653 0.0541613894576036
"Japan" 1950 1 "Male" 18.021 1244.41 0.0144815615432213
"Japan" 1950 1 "Female" 18.277 1239.387 0.0147468062840743
"Japan" 1950 2 "Male" 12.893 1292.422 0.00997584380333978
"Japan" 1950 2 "Female" 12.539 1287.794 0.00973680573135144
"Japan" 1950 3 "Male" 8.978 1249.782 0.00718365282905339
"Japan" 1950 3 "Female" 8.801 1242.799 0.00708159565625656
"Japan" 1950 4 "Male" 4.689 1006.125 0.00466045471487141
"Japan" 1950 4 "Female" 4.645 998.709 0.00465100444674074
"Japan" 1950 5 "Male" 2.715 817.669 0.00332041449535203
"Japan" 1950 5 "Female" 2.702 818.441 0.00330139863472138
"Japan" 1950 6 "Male" 2.418 926.414 0.00261006418296787
"Japan" 1950 6 "Female" 2.067 935.063 0.00221054624126931
"Japan" 1950 7 "Male" 2.126 998.021 0.00213021569686409
"Japan" 1950 7 "Female" 1.768 1009.773 0.00175088856604405
"Japan" 1950 8 "Male" 1.685 997.117 0.00168987190068969
"Japan" 1950 8 "Female" 1.462 1008.387 0.00144984019032375
"Japan" 1950 9 "Male" 1.441 1007.557 0.00143019203876307
"Japan" 1950 9 "Female" 1.322 1016.645 0.00130035558134846
"Japan" 1950 10 "Male" 1.197 957.727 0.00124983424295232
"Japan" 1950 10 "Female" 1.103 967.999 0.00113946398704957
"Japan" 1950 11 "Male" 0.976 856.485 0.00113954126458724
"Japan" 1950 11 "Female" 0.99 868.691 0.00113964574284757
"Japan" 1950 12 "Male" 0.94 832.422 0.00112923493132089
"Japan" 1950 12 "Female" 0.975 848.028 0.00114972618828624
"Japan" 1950 13 "Male" 0.966 886.39 0.00108981373887341
"Japan" 1950 13 "Female" 1.092 902.52 0.00120994548597261
"Japan" 1950 14 "Male" 1.072 916.913 0.00116914036555268
"Japan" 1950 14 "Female" 1.301 929.422 0.00139979471112154
"Japan" 1950 15 "Male" 1.336 909.2 0.0014694236691597
"Japan" 1950 15 "Female" 1.54 922.519 0.00166934231164887
"Japan" 1950 16 "Male" 1.607 882.866 0.00182020827622765
"Japan" 1950 16 "Female" 1.877 898.17 0.00208980482536714
"Japan" 1950 17 "Male" 2.245 877.073 0.0025596501089419
"Japan" 1950 17 "Female" 2.189 893.556 0.00244976252187888
"Japan" 1950 18 "Male" 2.679 878.403 0.00304985297181362
"Japan" 1950 18 "Female" 2.722 895.755 0.0030387773442515
"Japan" 1950 19 "Male" 3.138 866.837 0.00362005775018833
"Japan" 1950 19 "Female" 2.947 885.127 0.00332946571508947
"Japan" 1950 20 "Male" 3.485 841.783 0.00414002183460583
"Japan" 1950 20 "Female" 3.121 859.891 0.00362952978924073
"Japan" 1950 21 "Male" 3.808 817.115 0.00466029873396034
"Japan" 1950 21 "Female" 3.514 836.567 0.00420050037833192
"Japan" 1950 22 "Male" 4.007 799.876 0.00500952647660387
"Japan" 1950 22 "Female" 3.828 823.077 0.00465084068683732
"Japan" 1950 23 "Male" 4.109 784.205 0.00523970135360014
"Japan" 1950 23 "Female" 3.962 809.894 0.00489199821211171
"Japan" 1950 24 "Male" 4.402 766.875 0.0057401792991035
"Japan" 1950 24 "Female" 4.023 800.982 0.005022584777186
"Japan" 1950 25 "Male" 4.216 725.67 0.00580980335414169
"Japan" 1950 25 "Female" 3.866 779.125 0.0049619765762875
"Japan" 1950 26 "Male" 3.897 661.713 0.00588926014752619
"Japan" 1950 26 "Female" 3.869 739.353 0.0052329536770663
"Japan" 1950 27 "Male" 3.349 593.802 0.00563992711375172
"Japan" 1950 27 "Female" 3.639 710.337 0.00512292052926991
"Japan" 1950 28 "Male" 3.034 540.795 0.00561025897058959
"Japan" 1950 28 "Female" 3.604 691.471 0.0052120768622256
"Japan" 1950 29 "Male" 3.006 510.342 0.00589016776984845
"Japan" 1950 29 "Female" 3.368 665.37 0.00506184528908727
"Japan" 1950 30 "Male" 2.833 514.153 0.00551003300573954
"Japan" 1950 30 "Female" 3.291 664.66 0.00495140372521289
"Japan" 1950 31 "Male" 2.518 487.914 0.00516074554122243
"Japan" 1950 31 "Female" 3.006 614.624 0.00489079502264799
"Japan" 1950 32 "Male" 2.467 455.911 0.00541114384167085
"Japan" 1950 32 "Female" 2.738 558.566 0.00490183792067544
"Japan" 1950 33 "Male" 2.529 470.024 0.00538057631099689
"Japan" 1950 33 "Female" 2.823 567.841 0.00497146208181516
"Japan" 1950 34 "Male" 2.676 482.974 0.00554067092638527
"Japan" 1950 34 "Female" 2.889 574.279 0.00503065583105076
"Japan" 1950 35 "Male" 2.786 486.064 0.0057317554889891
"Japan" 1950 35 "Female" 2.938 569.417 0.00515966330474854
"Japan" 1950 36 "Male" 2.838 488.398 0.00581083460620232
"Japan" 1950 36 "Female" 2.939 566.138 0.00519131377861935
"Japan" 1950 37 "Male" 2.949 488.11 0.00604167093483026
"Japan" 1950 37 "Female" 2.899 560.624 0.00517102371643026
"Japan" 1950 38 "Male" 2.925 481.804 0.00607093340860599
"Japan" 1950 38 "Female" 2.975 551.871 0.00539075254905585
"Japan" 1950 39 "Male" 3.114 475.307 0.00655155510017736
"Japan" 1950 39 "Female" 3.069 541.133 0.00567143382495616
"Japan" 1950 40 "Male" 3.036 465.601 0.00652060455196617
"Japan" 1950 40 "Female" 2.991 518.41 0.00576956463031192
"Japan" 1950 41 "Male" 3.21 463.233 0.00692955812733549
"Japan" 1950 41 "Female" 2.979 508.412 0.0058594210994233
"Japan" 1950 42 "Male" 3.287 456.443 0.00720133729731861
"Japan" 1950 42 "Female" 3.096 494.488 0.00626102150102733
"Japan" 1950 43 "Male" 3.372 448.997 0.00751007245037272
"Japan" 1950 43 "Female" 2.828 475.184 0.00595137883430418
"Japan" 1950 44 "Male" 3.373 420.014 0.00803068469146267
"Japan" 1950 44 "Female" 2.75 431.659 0.00637076951945865
"Japan" 1950 45 "Male" 3.404 399.009 0.00853113588916541
"Japan" 1950 45 "Female" 2.85 407.056 0.00700149365197909
"Japan" 1950 46 "Male" 3.459 399.81 0.0086516095145194
"Japan" 1950 46 "Female" 2.857 408.045 0.00700167873641388
"Japan" 1950 47 "Male" 3.833 403.002 0.00951111905151836
"Japan" 1950 47 "Female" 2.996 406.566 0.00736903725348406
"Japan" 1950 48 "Male" 4.167 410.628 0.0101478710657822
"Japan" 1950 48 "Female" 3.301 414.76 0.00795881955829878
"Japan" 1950 49 "Male" 4.514 403.111 0.0111979082684422
"Japan" 1950 49 "Female" 3.368 405.478 0.00830624596155648
"Japan" 1950 50 "Male" 4.48 384.288 0.0116579232242485
"Japan" 1950 50 "Female" 3.45 387.329 0.008907156448394
"Japan" 1950 51 "Male" 4.409 358.541 0.0122970594715807
"Japan" 1950 51 "Female" 3.388 360.13 0.00940771388109849
"Japan" 1950 52 "Male" 4.913 348.732 0.0140881823291238
"Japan" 1950 52 "Female" 3.75 349.87 0.0107182667848058
"Japan" 1950 53 "Male" 4.894 340.389 0.0143776679034869
"Japan" 1950 53 "Female" 3.646 342.63 0.0106412164725797
"Japan" 1950 54 "Male" 5.239 322.071 0.0162665996007092
"Japan" 1950 54 "Female" 3.904 325.884 0.0119797228461661
"Japan" 1950 55 "Male" 5.525 310.079 0.0178180399188594
"Japan" 1950 55 "Female" 3.824 316.547 0.0120803545760977
"Japan" 1950 56 "Male" 5.698 295.316 0.0192945861382384
"Japan" 1950 56 "Female" 4.056 301.388 0.0134577355435518
"Japan" 1950 57 "Male" 5.764 276.856 0.0208194873869448
"Japan" 1950 57 "Female" 4.224 283.46 0.0149015734142383
"Japan" 1950 58 "Male" 6.354 268.512 0.0236637468716482
"Japan" 1950 58 "Female" 4.469 278.592 0.016041379508385
"Japan" 1950 59 "Male" 6.173 252.501 0.0244474279309785
"Japan" 1950 59 "Female" 4.364 267.221 0.0163310518260167
"Japan" 1950 60 "Male" 6.556 241.243 0.027175918057726
"Japan" 1950 60 "Female" 4.807 261.276 0.0183981689860531
"Japan" 1950 61 "Male" 7.127 244.863 0.0291060715583816
"Japan" 1950 61 "Female" 5.498 269.712 0.0203847066500564
"Japan" 1950 62 "Male" 7.306 234.882 0.0311049803731235
"Japan" 1950 62 "Female" 5.458 259.389 0.0210417558184811
"Japan" 1950 63 "Male" 7.775 215.921 0.0360085401605217
"Japan" 1950 63 "Female" 6.291 243.623 0.0258226850502621
"Japan" 1950 64 "Male" 7.424 189.619 0.0391521946640368
"Japan" 1950 64 "Female" 6.051 222.423 0.0272049203544597
"Japan" 1950 65 "Male" 7.644 173.691 0.0440091887317132
"Japan" 1950 65 "Female" 6.121 209.463 0.0292223447577854
"Japan" 1950 66 "Male" 8.036 168.542 0.0476795101517723
"Japan" 1950 66 "Female" 6.904 208.859 0.0330557936215341
"Japan" 1950 67 "Male" 8.144 158.45 0.051397917324077
"Japan" 1950 67 "Female" 7.295 203.472 0.0358525988833844
"Japan" 1950 68 "Male" 8.465 148.882 0.0568571083139668
