"country" "year" "age" "sex" "mx" "death" "exp"
"United States of America" 1933 0 "Male" 0.068175 NA NA
"United States of America" 1933 0 "Female" 0.054177 NA NA
"United States of America" 1933 1 "Male" 0.010039 NA NA
"United States of America" 1933 1 "Female" 0.008866 NA NA
"United States of America" 1933 2 "Male" 0.004671 NA NA
"United States of America" 1933 2 "Female" 0.004025 NA NA
"United States of America" 1933 3 "Male" 0.003333 NA NA
"United States of America" 1933 3 "Female" 0.002869 NA NA
"United States of America" 1933 4 "Male" 0.002537 NA NA
"United States of America" 1933 4 "Female" 0.00223 NA NA
"United States of America" 1933 5 "Male" 0.002092 NA NA
"United States of America" 1933 5 "Female" 0.001852 NA NA
"United States of America" 1933 6 "Male" 0.001898 NA NA
"United States of America" 1933 6 "Female" 0.001645 NA NA
"United States of America" 1933 7 "Male" 0.001744 NA NA
"United States of America" 1933 7 "Female" 0.001472 NA NA
"United States of America" 1933 8 "Male" 0.001614 NA NA
"United States of America" 1933 8 "Female" 0.00132 NA NA
"United States of America" 1933 9 "Male" 0.00151 NA NA
"United States of America" 1933 9 "Female" 0.001194 NA NA
"United States of America" 1933 10 "Male" 0.001436 NA NA
"United States of America" 1933 10 "Female" 0.001098 NA NA
"United States of America" 1933 11 "Male" 0.001408 NA NA
"United States of America" 1933 11 "Female" 0.001058 NA NA
"United States of America" 1933 12 "Male" 0.001457 NA NA
"United States of America" 1933 12 "Female" 0.001096 NA NA
"United States of America" 1933 13 "Male" 0.001584 NA NA
"United States of America" 1933 13 "Female" 0.001211 NA NA
"United States of America" 1933 14 "Male" 0.001774 NA NA
"United States of America" 1933 14 "Female" 0.001392 NA NA
"United States of America" 1933 15 "Male" 0.002013 NA NA
"United States of America" 1933 15 "Female" 0.001627 NA NA
"United States of America" 1933 16 "Male" 0.002254 NA NA
"United States of America" 1933 16 "Female" 0.001867 NA NA
"United States of America" 1933 17 "Male" 0.002484 NA NA
"United States of America" 1933 17 "Female" 0.002099 NA NA
"United States of America" 1933 18 "Male" 0.002708 NA NA
"United States of America" 1933 18 "Female" 0.002329 NA NA
"United States of America" 1933 19 "Male" 0.002932 NA NA
"United States of America" 1933 19 "Female" 0.00256 NA NA
"United States of America" 1933 20 "Male" 0.003151 NA NA
"United States of America" 1933 20 "Female" 0.002789 NA NA
"United States of America" 1933 21 "Male" 0.003343 NA NA
"United States of America" 1933 21 "Female" 0.002992 NA NA
"United States of America" 1933 22 "Male" 0.003501 NA NA
"United States of America" 1933 22 "Female" 0.003163 NA NA
"United States of America" 1933 23 "Male" 0.003619 NA NA
"United States of America" 1933 23 "Female" 0.003298 NA NA
"United States of America" 1933 24 "Male" 0.003694 NA NA
"United States of America" 1933 24 "Female" 0.003396 NA NA
"United States of America" 1933 25 "Male" 0.003735 NA NA
"United States of America" 1933 25 "Female" 0.003465 NA NA
"United States of America" 1933 26 "Male" 0.003786 NA NA
"United States of America" 1933 26 "Female" 0.003532 NA NA
"United States of America" 1933 27 "Male" 0.003858 NA NA
"United States of America" 1933 27 "Female" 0.003604 NA NA
"United States of America" 1933 28 "Male" 0.003952 NA NA
"United States of America" 1933 28 "Female" 0.003675 NA NA
"United States of America" 1933 29 "Male" 0.004066 NA NA
"United States of America" 1933 29 "Female" 0.003743 NA NA
"United States of America" 1933 30 "Male" 0.004206 NA NA
"United States of America" 1933 30 "Female" 0.003815 NA NA
"United States of America" 1933 31 "Male" 0.004385 NA NA
"United States of America" 1933 31 "Female" 0.003918 NA NA
"United States of America" 1933 32 "Male" 0.004609 NA NA
"United States of America" 1933 32 "Female" 0.004064 NA NA
"United States of America" 1933 33 "Male" 0.004882 NA NA
"United States of America" 1933 33 "Female" 0.004257 NA NA
